,poa_global,poa_diffuse,ghi,ghi_c,temp_air,wind_speed,rain_fall
2019-08-01 00:00:00+00:00,0.0,0.0,0.0,0.0,290.39,2.09,0.0
2019-08-01 00:15:00+00:00,0.0,0.0,0.0,0.0,290.24,2.1,0.0
2019-08-01 00:30:00+00:00,0.0,0.0,0.0,0.0,290.08,2.1,0.0
2019-08-01 00:45:00+00:00,0.0,0.0,0.0,0.0,289.94,2.11,0.0
2019-08-01 01:00:00+00:00,0.0,0.0,0.0,0.0,289.82,2.11,0.0
2019-08-01 01:15:00+00:00,0.0,0.0,0.0,0.0,289.7,2.11,0.0
2019-08-01 01:30:00+00:00,0.0,0.0,0.0,0.0,289.58,2.12,0.0
2019-08-01 01:45:00+00:00,0.0,0.0,0.0,0.0,289.46,2.12,0.0
2019-08-01 02:00:00+00:00,0.0,0.0,0.0,0.0,289.35,2.11,0.0
2019-08-01 02:15:00+00:00,0.0,0.0,0.0,0.0,289.24,2.11,0.0
2019-08-01 02:30:00+00:00,0.0,0.0,0.0,0.0,289.14,2.1,0.0
2019-08-01 02:45:00+00:00,0.0,0.0,0.0,0.0,289.03,2.09,0.0
2019-08-01 03:00:00+00:00,0.0,0.0,0.0,0.0,288.93,2.07,0.0
2019-08-01 03:15:00+00:00,0.0,0.0,0.0,0.0,288.83,2.05,0.0
2019-08-01 03:30:00+00:00,0.0,0.0,0.0,0.0,288.73,2.04,0.0
2019-08-01 03:45:00+00:00,0.0,0.0,0.0,0.0,288.62,2.02,1e-06
2019-08-01 04:00:00+00:00,0.0,0.0,0.0,0.0,288.5,2.0,2e-06
2019-08-01 04:15:00+00:00,0.0,0.0,0.0,0.0,288.37,1.99,4e-06
2019-08-01 04:30:00+00:00,0.0,0.0,0.0,0.0,288.25,1.98,6e-06
2019-08-01 04:45:00+00:00,0.0,0.0,0.0,0.0,288.32,2.0,0.0005700000000000001
2019-08-01 05:00:00+00:00,0.1316,0.1308,0.1376,2.0448,288.59,2.06,0.001696
2019-08-01 05:15:00+00:00,3.428,3.4016,3.5832,16.3312,288.87,2.13,0.002822
2019-08-01 05:30:00+00:00,9.3644,9.2896,10.2008,38.6696,289.14,2.2,0.003949
2019-08-01 05:45:00+00:00,16.4176,16.2832,18.3028,67.118,289.39,2.24,0.012882999999999999
2019-08-01 06:00:00+00:00,25.0832,24.8772,28.0376,100.4064,289.61,2.25,0.029626
2019-08-01 06:15:00+00:00,32.6892,32.419200000000004,36.5196,137.1644,289.82,2.29,0.046368
2019-08-01 06:30:00+00:00,39.252,38.644800000000004,42.7496,176.33,290.04,2.34,0.06311
2019-08-01 06:45:00+00:00,44.67,43.5508,48.0796,217.29,290.25,2.08,0.20596899999999999
2019-08-01 07:00:00+00:00,49.7736,48.182,53.1164,259.4204,290.45,1.53,0.474945
2019-08-01 07:15:00+00:00,51.4656,49.5504,54.5416,302.1884,290.65,1.03,0.74392
