,Vdc,Idc,Pac,Pdc
2019-08-01 00:00:00+02:00,,,,
2019-08-01 00:15:00+02:00,,,,
2019-08-01 00:30:00+02:00,,,,
2019-08-01 00:45:00+02:00,,,,
2019-08-01 01:00:00+02:00,,,,
2019-08-01 01:15:00+02:00,,,,
2019-08-01 01:30:00+02:00,,,,
2019-08-01 01:45:00+02:00,,,,
2019-08-01 02:00:00+02:00,,,,
2019-08-01 02:15:00+02:00,,,,
2019-08-01 02:30:00+02:00,,,,
2019-08-01 02:45:00+02:00,,,,
2019-08-01 03:00:00+02:00,,,,
2019-08-01 03:15:00+02:00,,,,
2019-08-01 03:30:00+02:00,,,,
2019-08-01 03:45:00+02:00,,,,
2019-08-01 04:00:00+02:00,,,,
2019-08-01 04:15:00+02:00,,,,
2019-08-01 04:30:00+02:00,,,,
2019-08-01 04:45:00+02:00,,,,
2019-08-01 05:00:00+02:00,,,,
2019-08-01 05:15:00+02:00,,,,
2019-08-01 05:30:00+02:00,,,,
2019-08-01 05:45:00+02:00,,,,
2019-08-01 06:00:00+02:00,,,,
2019-08-01 06:15:00+02:00,,,,
2019-08-01 06:30:00+02:00,,,,
2019-08-01 06:45:00+02:00,519.0,,,
2019-08-01 07:00:00+02:00,579.943663179104,0.03975684522040093,2.709669715540933,23.05673045356397
2019-08-01 07:15:00+02:00,582.9132629500106,0.3175374836515617,14.617030508180564,185.09681070426745
2019-08-01 07:30:00+02:00,484.9204974855948,1.46820317015359,261.2538576510177,711.9618116808062
2019-08-01 07:45:00+02:00,554.9029835279217,2.2911595592136393,781.97023040084,1271.3712751461665
2019-08-01 08:00:00+02:00,554.8992733994224,2.6382782709810764,964.7778671963703,1463.978695592884
2019-08-01 08:15:00+02:00,532.9004154859894,1.8546688777243598,515.931376892701,988.3538155282449
2019-08-01 08:30:00+02:00,491.82443334659706,1.408074384851661,247.30604501615682,692.5253864395264
2019-08-01 08:45:00+02:00,557.6724608252479,0.3803260368322413,18.872658870429802,212.09735687614986
2019-08-01 09:00:00+02:00,594.5488161812632,0.009683763864167551,0.8642217864130215,5.757470341619713
2019-08-01 09:15:00+02:00,575.4898004436125,0.048160483985868946,2.8164905225272,27.715867318295512
2019-08-01 09:30:00+02:00,597.4004363449914,0.0,0.0,0.0
2019-08-01 09:45:00+02:00,611.3377883454204,0.019113433936673866,1.7539348690989984,11.684764430532505
2019-08-01 10:00:00+02:00,519.3943228899146,0.9813574934139094,139.19292806537325,509.7115108046614
2019-08-01 10:15:00+02:00,464.4154236489728,1.1307442195064281,145.93987091824897,525.135055740705
2019-08-01 10:30:00+02:00,493.3502293463979,1.7825917114952663,410.4008131813587,879.4420296971775
2019-08-01 10:45:00+02:00,536.2647997561282,1.9401046834969695,563.3891979374076,1040.409849601429
2019-08-01 11:00:00+02:00,525.2470158028555,1.2565041641289558,225.48930581764918,659.9750625525953
2019-08-01 11:15:00+02:00,515.2283719773791,1.726138526428498,422.9998542052264,889.3555427791872
2019-08-01 11:30:00+02:00,591.1027225183901,7.272829709793206,3744.4124554446935,4298.9894418713975
2019-08-01 11:45:00+02:00,563.0,3.8599998951,1668.0,2173.1799409413
2019-08-01 12:00:00+02:00,565.0,4.25,1869.0,2401.25
2019-08-01 12:15:00+02:00,555.0,4.2600002289,1853.0,2364.3001270395002
2019-08-01 12:30:00+02:00,564.0,4.5399999619,2014.0,2560.5599785116
2019-08-01 12:45:00+02:00,546.0,2.6900000572,955.0,1468.7400312312
2019-08-01 13:00:00+02:00,579.0,6.4400000572,3229.0,3728.7600331188
2019-08-01 13:15:00+02:00,624.0,38.3499984741,22997.0,23930.3990478384
2019-08-01 13:30:00+02:00,640.6868198307134,67.38716641642584,42000.0,43174.06934874292
2019-08-01 13:45:00+02:00,583.0,40.9900016785,23211.0,23897.1709785655
2019-08-01 14:00:00+02:00,580.0,16.0,8771.0,9280.0
2019-08-01 14:15:00+02:00,598.0,31.8999996185,18465.0,19076.199771863
2019-08-01 14:30:00+02:00,592.0,27.0900001526,15435.0,16037.280090339198
2019-08-01 14:45:00+02:00,593.0,30.6599998474,17593.0,18181.3799095082
2019-08-01 15:00:00+02:00,591.0,33.8199996948,19361.0,19987.6198196268
2019-08-01 15:15:00+02:00,586.0,36.7999992371,20943.0,21564.799552940603
2019-08-01 15:30:00+02:00,583.0,28.6000003815,16100.0,16673.8002224145
2019-08-01 15:45:00+02:00,584.0,26.1100006104,14705.0,15248.2403564736
2019-08-01 16:00:00+02:00,586.0,30.1599998474,17095.0,17673.759910576402
2019-08-01 16:15:00+02:00,584.0,30.5499992371,17286.0,17841.1995544664
2019-08-01 16:30:00+02:00,584.0,31.1100006104,17621.0,18168.2403564736
2019-08-01 16:45:00+02:00,582.0,47.1399993896,26777.0,27435.4796447472
2019-08-01 17:00:00+02:00,569.0,59.9000015259,33351.0,34083.1008682371
2019-08-01 17:15:00+02:00,590.8291139240507,72.49444420698329,42000.0,42831.828235228466
2019-08-01 17:30:00+02:00,592.0902160101651,72.2917862548561,42000.0,42803.259339398435
2019-08-01 17:45:00+02:00,544.0,62.8899993896,33546.0,34212.1596679424
