,Vdc,Idc,Pac
2019-08-01 04:45:00+00:00,519.0,0.0700000003,0.0
2019-08-01 05:00:00+00:00,580.0,0.0399999991,1.0
2019-08-01 05:15:00+00:00,583.0,0.3199999928,15.0
2019-08-01 05:30:00+00:00,485.0,1.4800000191,244.0
2019-08-01 05:45:00+00:00,555.0,2.3099999428,734.0
2019-08-01 06:00:00+00:00,555.0,2.6600000858,923.0
2019-08-01 06:15:00+00:00,533.0,1.8700000048,491.0
2019-08-01 06:30:00+00:00,492.0,1.4299999475,233.0
2019-08-01 06:45:00+00:00,558.0,0.3899999857,-32.0
2019-08-01 07:00:00+00:00,595.0,0.009999999800000001,2.0
2019-08-01 07:15:00+00:00,576.0,0.050000000700000005,1.0
2019-08-01 07:30:00+00:00,598.0,0.0,2.0
2019-08-01 07:45:00+00:00,612.0,0.019999999600000002,2.0
2019-08-01 08:00:00+00:00,520.0,1.0299999714,120.0
2019-08-01 08:15:00+00:00,465.0,1.1900000572,96.0
2019-08-01 08:30:00+00:00,494.0,1.8799999952,455.0
2019-08-01 08:45:00+00:00,537.0,2.0499999523,571.0
2019-08-01 09:00:00+00:00,526.0,1.3300000429,200.0
2019-08-01 09:15:00+00:00,516.0,1.8300000429,450.0
2019-08-01 09:30:00+00:00,592.0,7.7199997902,4015.0
2019-08-01 09:45:00+00:00,563.0,3.8599998951,1668.0
2019-08-01 10:00:00+00:00,565.0,4.25,1869.0
2019-08-01 10:15:00+00:00,555.0,4.2600002289,1853.0
2019-08-01 10:30:00+00:00,564.0,4.5399999618999995,2014.0
2019-08-01 10:45:00+00:00,546.0,2.6900000572,955.0
2019-08-01 11:00:00+00:00,579.0,6.4400000572,3229.0
2019-08-01 11:15:00+00:00,624.0,38.3499984741,22997.0
2019-08-01 11:30:00+00:00,594.0,76.9700012207,44442.0
2019-08-01 11:45:00+00:00,583.0,40.9900016785,23211.0
2019-08-01 12:00:00+00:00,580.0,16.0,8771.0
2019-08-01 12:15:00+00:00,598.0,31.8999996185,18465.0
2019-08-01 12:30:00+00:00,592.0,27.0900001526,15435.0
2019-08-01 12:45:00+00:00,593.0,30.6599998474,17593.0
2019-08-01 13:00:00+00:00,591.0,33.8199996948,19361.0
2019-08-01 13:15:00+00:00,586.0,36.7999992371,20943.0
2019-08-01 13:30:00+00:00,583.0,28.6000003815,16100.0
2019-08-01 13:45:00+00:00,584.0,26.1100006104,14705.0
2019-08-01 14:00:00+00:00,586.0,30.1599998474,17095.0
2019-08-01 14:15:00+00:00,584.0,30.5499992371,17286.0
2019-08-01 14:30:00+00:00,584.0,31.1100006104,17621.0
2019-08-01 14:45:00+00:00,582.0,47.1399993896,26777.0
2019-08-01 15:00:00+00:00,569.0,59.9000015259,33351.0
2019-08-01 15:15:00+00:00,555.0,78.5400009155,42686.0
2019-08-01 15:30:00+00:00,545.0,82.8000030518,44192.0
2019-08-01 15:45:00+00:00,544.0,62.8899993896,33546.0
2019-08-01 16:00:00+00:00,549.0,75.3799972534,40523.0
2019-08-01 16:15:00+00:00,549.0,66.9499969482,36039.0
2019-08-01 16:30:00+00:00,555.0,50.4199981689,27400.0
2019-08-01 16:45:00+00:00,563.0,52.6599998474,29131.0
2019-08-01 17:00:00+00:00,566.0,49.4900016785,27387.0
2019-08-01 17:15:00+00:00,565.0,30.0799999237,16621.0
2019-08-01 17:30:00+00:00,563.0,14.5500001907,7754.0
2019-08-01 17:45:00+00:00,569.0,11.2299995422,5944.0
2019-08-01 18:00:00+00:00,562.0,8.1199998856,4113.0
