,Vdc,Idc,Pac,Pdc
2019-08-01 00:00:00+02:00,,,,
2019-08-01 00:15:00+02:00,,,,
2019-08-01 00:30:00+02:00,,,,
2019-08-01 00:45:00+02:00,,,,
2019-08-01 01:00:00+02:00,,,,
2019-08-01 01:15:00+02:00,,,,
2019-08-01 01:30:00+02:00,,,,
2019-08-01 01:45:00+02:00,,,,
2019-08-01 02:00:00+02:00,,,,
2019-08-01 02:15:00+02:00,,,,
2019-08-01 02:30:00+02:00,,,,
2019-08-01 02:45:00+02:00,,,,
2019-08-01 03:00:00+02:00,,,,
2019-08-01 03:15:00+02:00,,,,
2019-08-01 03:30:00+02:00,,,,
2019-08-01 03:45:00+02:00,,,,
2019-08-01 04:00:00+02:00,,,,
2019-08-01 04:15:00+02:00,,,,
2019-08-01 04:30:00+02:00,,,,
2019-08-01 04:45:00+02:00,,,,
2019-08-01 05:00:00+02:00,,,,
2019-08-01 05:15:00+02:00,,,,
2019-08-01 05:30:00+02:00,,,,
2019-08-01 05:45:00+02:00,,,,
2019-08-01 06:00:00+02:00,,,,
2019-08-01 06:15:00+02:00,,,,
2019-08-01 06:30:00+02:00,,,,
2019-08-01 06:45:00+02:00,519.0,0.0700000003,0.0,36.3300001557
2019-08-01 07:00:00+02:00,580.0,0.0399999991,1.0,23.199999478000002
2019-08-01 07:15:00+02:00,583.0,0.3199999928,15.0,186.5599958024
2019-08-01 07:30:00+02:00,485.0,1.4800000191,244.0,717.8000092635
2019-08-01 07:45:00+02:00,555.0,2.3099999428,734.0,1282.049968254
2019-08-01 08:00:00+02:00,555.0,2.6600000858,923.0,1476.300047619
2019-08-01 08:15:00+02:00,533.0,1.8700000048,491.0,996.7100025584
2019-08-01 08:30:00+02:00,492.0,1.4299999475,233.0,703.55997417
2019-08-01 08:45:00+02:00,558.0,0.3899999857,-32.0,217.6199920206
2019-08-01 09:00:00+02:00,595.0,0.0099999998,2.0,5.949999880999999
2019-08-01 09:15:00+02:00,576.0,0.0500000007,1.0,28.8000004032
2019-08-01 09:30:00+02:00,598.0,0.0,2.0,0.0
2019-08-01 09:45:00+02:00,612.0,0.0199999996,2.0,12.2399997552
2019-08-01 10:00:00+02:00,520.0,1.0299999714,120.0,535.5999851280001
2019-08-01 10:15:00+02:00,465.0,1.1900000572,96.0,553.350026598
2019-08-01 10:30:00+02:00,494.0,1.8799999952,455.0,928.7199976288
2019-08-01 10:45:00+02:00,537.0,2.0499999523,571.0,1100.8499743851
2019-08-01 11:00:00+02:00,526.0,1.3300000429,200.0,699.5800225654
2019-08-01 11:15:00+02:00,516.0,1.8300000429,450.0,944.2800221364
2019-08-01 11:30:00+02:00,592.0,7.7199997902,4015.0,4570.2398757984
2019-08-01 11:45:00+02:00,563.0,3.8599998951,1668.0,2173.1799409413
2019-08-01 12:00:00+02:00,565.0,4.25,1869.0,2401.25
2019-08-01 12:15:00+02:00,555.0,4.2600002289,1853.0,2364.3001270395002
2019-08-01 12:30:00+02:00,564.0,4.5399999619,2014.0,2560.5599785116
2019-08-01 12:45:00+02:00,546.0,2.6900000572,955.0,1468.7400312312
2019-08-01 13:00:00+02:00,579.0,6.4400000572,3229.0,3728.7600331188
2019-08-01 13:15:00+02:00,624.0,38.3499984741,22997.0,23930.3990478384
2019-08-01 13:30:00+02:00,594.0,76.9700012207,44442.0,45720.1807250958
2019-08-01 13:45:00+02:00,583.0,40.9900016785,23211.0,23897.1709785655
2019-08-01 14:00:00+02:00,580.0,16.0,8771.0,9280.0
2019-08-01 14:15:00+02:00,598.0,31.8999996185,18465.0,19076.199771863
2019-08-01 14:30:00+02:00,592.0,27.0900001526,15435.0,16037.280090339198
2019-08-01 14:45:00+02:00,593.0,30.6599998474,17593.0,18181.3799095082
2019-08-01 15:00:00+02:00,591.0,33.8199996948,19361.0,19987.6198196268
2019-08-01 15:15:00+02:00,586.0,36.7999992371,20943.0,21564.799552940603
2019-08-01 15:30:00+02:00,583.0,28.6000003815,16100.0,16673.8002224145
2019-08-01 15:45:00+02:00,584.0,26.1100006104,14705.0,15248.2403564736
2019-08-01 16:00:00+02:00,586.0,30.1599998474,17095.0,17673.759910576402
2019-08-01 16:15:00+02:00,584.0,30.5499992371,17286.0,17841.1995544664
2019-08-01 16:30:00+02:00,584.0,31.1100006104,17621.0,18168.2403564736
2019-08-01 16:45:00+02:00,582.0,47.1399993896,26777.0,27435.4796447472
2019-08-01 17:00:00+02:00,569.0,59.9000015259,33351.0,34083.1008682371
2019-08-01 17:15:00+02:00,555.0,78.5400009155,42686.0,43589.7005081025
2019-08-01 17:30:00+02:00,545.0,82.8000030518,44192.0,45126.001663231
2019-08-01 17:45:00+02:00,544.0,62.8899993896,33546.0,34212.1596679424
2019-08-01 18:00:00+02:00,549.0,75.3799972534,40523.0,41383.618492116606
2019-08-01 18:15:00+02:00,549.0,66.9499969482,36039.0,36755.548324561794
2019-08-01 18:30:00+02:00,555.0,50.4199981689,27400.0,27983.0989837395
2019-08-01 18:45:00+02:00,563.0,52.6599998474,29131.0,29647.5799140862
